Todd Terry Feat Tara Macdonald,,Play On (Eddie Thoneik Remix),TRKKOEA128F93093B2
Twista,,Twista Speaks Part 3,TRKKOLH128F930F73E
Rancid,punk,Golden Gate Fields,TRKKOAA128F428B716
Melissa Ferrick,,I Am Not (LP Version),TRKKOZD128F9341C40
Paul Webster,,Je N'Aurai Pas Le Temps (If I Only Have Time),TRKKOXV128F931CBD8
Hum,,Right Between the Eyes,TRKKOWF12903CAD586
Dave Angel,old school trance;tracks I like,Jungle Love,TRKKOEI128F9312A4A
Randam Luck,,Murda,TRKKOMZ128F92D5F43
Tommy Smith,,Tear,TRKKOCF12903CE5E5D
Quadro Nuevo,,Aber Heidschi, Bumbeidschi,TRKKOQW128F92D7810
Ruckus Roboticus,afrobeat;The Birth of Ruckus;By Ruckus Roboticus,The Birth of Ruckus,TRKKOBD128F9322BF8
Jerry Vale,,Love In The Afternoon,TRKKOAF12903CE5A06
Die Toten Hosen,punk rock,Radio Argentina #2,TRKKOMQ128F932C30C
Joe Henry,rock;singer-songwriter;folk;KEXP Song of the Day;2k7 mix;emission universelle;Ciudad Volatil;MBO-Song;Joe Henry;Left of the Dial;songs that make me cream my panties;time;podcast;NC;Fusion;folk rock;american;piano;pop;cabaret;indie;blues;jazz;RockPop;freedom;tejano;VPRO Boogie Nights,Time Is A Lion,TRKKODU128F422EE26
Shearwater,Shearwater-2010-The Golden Archipelago;rock;folk;alternative;beautiful,Missing Islands,TRKKOUC12903C9D604
Eve,Hip-Hop;SuomiPop,En pysty muuttumaan,TRKKOWN128F4228464
Alanis Morissette,,Underneath (Morgan Page Radio Edit),TRKKOCA128F42812A1
Scenario Rock,,Time Is Up,TRKKORY12903CED599
Let 3,,Vjeran pas,TRKKOCM12903CBB46C
Hombres G,80s;pop;latin pop;spanish pop;songs about places;favouritestreamable;favouritepop;k-radio;kmem5600;songs about madrid;topfavouritepop,Madrid, Madrid,TRKKOTZ128F1473D88
Lighthouse Family,pop;Uplifting;easy listening;rock;alternative;jazzy;90s;My Favorites;UK Pop;laid back;other;new;steady away,The Way You Are,TRKKOOD128E0791304
Gerry & The Pacemakers,,She's The Only Girl For Me (2002 Digital Remaster),TRKKOKS128F145C71D
Silk,slow jams;rnb;slow jamz baby;Favorite;college days;90s soul;seductive jams;Turn-me-on;Bubblesweetnight;Special Nights;rn-b-soul and more;Double Auwch;auwch;Just a touch of love;rand b;Sexy Sweet Love;silk;quiet storm;slow jam;r and b;good;sexy;soul;slow jams tag,Freak Me (LP Version),TRKKOJN128F92C8040
Centr,,noch,TRKKOLD12903CE7177
Agua Loca,,Choo Choo Train,TRKKASC128F42626C1
León Gieco,argentina;leon gieco;rio de la plata favoritos;de todo mio favoritos;puknarreo,Cachito, el campeón de Corrientes,TRKKAEA128F4274CCB
Royal Bangs,great song;indie;audioase;cityslang;sxsw 2009,New Scissors,TRKKAUY128F92DE2B0
Brian Bromberg,bass;jazz;Acoustic Bass;double bass;Fusion;jazz fusion;contemporary jazz;jazz bass;4 Star;simphony;simphoni;by duke ellington;pallo;st-jazz;md-swing,Caravan,TRKKAGI128F428C469
Boban Marković Orkestar,,sunce sjajno,TRKKAUJ128EF340183
Two Tone Club,,Beware of the tiger,TRKKATZ128F9365C0D
Hélio Ziskind,,A Noite no Castelo,TRKKASB12903C9D765
Jan Eggum,,En natt forbi,TRKKABQ12903D1335D
The Laughing Colors,,Jigsaw,TRKKAZL128EF36411A
Southern Tenant Folk Union,bluegrass;country;Southern Tenant Folk Union;Sweeter Times,Sweeter Times,TRKKATW128F42724FC
Dillinger,,No Sound Contest - Original,TRKKAOB128F92C95BC
Sam Roberts,Canadian;indie;singer-songwriter;groovious;bass heck yeah;Karma Police-esque tape effects;angluar-y;not really Bowie;really really love;twangy crunchy goodness;CANROCK;kind of abrasive;Sam Roberts;lyrical genius;Organs;check;00s;indie rock;pop;rock;seen live,Mind Flood,TRKKAWW128F42B44AA
Square One,heard on Pandora,Criacao,TRKKABN128F92C4E3F
Gene Ammons,jazz;gotta go back for it;saxophone;moon deep at 2am,Blue Velvet,TRKKAFN128F92D6BCD
Davide Squillace,,Miss Giggler,TRKKAYK128F93466E5
James Taylor,Low;GrayCharles,I Can Dream Of You,TRKKAUD128F92F418A
Mondo Marcio,weed;PURPLE;MONDO MARCIO;jazz;italian;unique;blunt;i love it;brain2brain;Ignobile lurido perditempo,Purple Weed,TRKKAHM128F148DCF5
Plies,,Bushes (Explicit Album Version),TRKKAQR128F4286609
Penta,,Binary,TRKKARV12903CD2756
Vanilla Sky,pop punk;punk;punk rock;rock;italian;Foreign;foreign language,6 Come 6,TRKKAPH128F425952D
The Black Dog,techno;soma,Phil: Because Ov, indeed,TRKKAFF128F92DF573
Grupo La Migra De A. Marroquín,,La Negra Cruz,TRKKAWV128F4247F62
Last Winter,indie;alternative;emo;pop punk;Lovin it,Don't Forget To Write,TRKKASF128F423AEE2
M. Nasir,,Melawan Arus,TRKKAMV128F14684DB
Charge 69,,Destin en main,TRKKACC128F92F0349
Archers of Loaf,,I.N.S.,TRKKACW128F423B847
Manu Dibango,,Moulena Na Moudi,TRKKAWY128F92D1D8C
The Calling,rock;alternative rock;alternative;poprock;american;Mellow;pop rock;The Calling;catchy;alternative pop rock;not emo;Jiab love songs;into it;american alternative;american alternative rock;couple;s;calling;love at first listen;old;male;good;emocore,Surrender,TRKKAVU128F92C4505
Eraser vs Yöjalka,psytrance;Suomi;psy trance,Ghost Train,TRKKAYZ128F426D7C1
Claw Hammer,,Pablum On My Mind,TRKKAQP128F4262351
Winston McAnuff,metro reggae,Head Corner Stone,TRKKAPH128F425F240
The Stranglers,punk;oreradio;-o7;-97t,Old Codger,TRKKACB128F1486C4E
ג'נגו,very nice;jewish;Jingo Thirteen Moons;Isael,Trinadtsat' Serebryanyh Lun (Thirteen Silver Moons ),TRKKAFZ128EF35B970
Jorma Kaukonen,bluegrass;mother american night;Lauf;folk;blues,Just Because,TRKKABU128F4279BDE
Aly & AJ,trance;vocal trance,My Mind Is With You,TRKKAXV12903D140C6
Skitzo,80s;psychobilly;rockabilly;punk;thrash metal,Decapitated Head Parade,TRKKAEB128EF35293D
Lil' Flip,,Can't U Tell [featuring Sqad Up & MJG] (Amended Version),TRKKAGY128F423C2BE
D. Biddle,,stars on flagstaff,TRKKACC128F932E1AF
The Sabres Of Paradise,experimental;ambient;electronic;chillout;techno;electronica;idm;UK;Favorite;Warp;acid house;Leftfield;piece of top ten uk electro albums ever,Still Fighting,TRKKAQX128F92FDAD2
Bart Claessen,,Madness,TRKKAIM128F93418D1
Big Jay Oakerson,,Yeah Jay, Yeah,TRKKAGN128F9301188
The Golden Boys,,Slow Down,TRKKAUK128F933342B
Natalie Grant,christian inspirational;worship and praise;contemporary christian;religious;Preferidas;Natalie Grant;louvor;holy spirit rain down,Holy Spirit Rain Down,TRKKACZ128F427EED9
Chris Farlowe,rolling stones cover;stonedbeat,It's Only Rock And Roll,TRKKAXM12903CB9EB4
Andrew Gold,,One Of Them Is Me  (LP Version),TRKKAMV128E078D168
Shooter Jennings,country;alternative country;Southern Rock;lonely;rock;Alt-country;country rock;outlaw country;lonesome;frontloader;lonesome blues;drinkin tunes;texas country;hillbilly;marijuana;loneliness;Favourite Songs,Lonesome Blues,TRKKAXG128F428A1EB
Gustavo Cerati,hermoso,Corazon delator,TRKKASU128F93305C4
Marsheaux,electronic;synthpop;pop;electropop;Gothic;female vocalists;vocoder;3 stars,People's Mind,TRKKAFN128F932A876
Betty Hutton,jazz;female vocalists;1950;jazz vocal;oldies;pop jazz;50s;stuttering;jazz female vocalists;songs with whistling;songs with stuttering;Betty Hutton;lastfm 1950 tag radio,Who Kicked The Light Plug (Out Of The Socket),TRKKABE128F429ADBC
Iguana Tango,,Solo Con Mirarte,TRKKAYA128F42815A3
Kevin Johansen,absolute favorite song;mejorescanciones2007,Por las ruas pelas calles,TRKKAQH128F933A928
The Jeff Healey Band,blues rock;blues;cover,I Got A Line On You,TRKKAFA128F92FB69B
Reuben,,Ways of Staying Pure,TRKKWCR128EF35EE36
Eraser vs Yöjalka,psy trance,huang Ona,TRKKWGV128F426D6A9
Donnie McClurkin,gospel;Contemporary Gospel Tag,So in Love,TRKKWUZ128F92F5B44
Tree,,Get in the Way,TRKKWOW128F92F980A
Spike 1000,,Nowhere,TRKKWPY128F427199D
Carter the Unstoppable Sex Machine,UK;fast;Cynical;england;grebo;royalty;Jubilee;scathing;monarchy,Stuff the Jubilee (1977),TRKKWDV128F1466657
Drexciya,detroit techno;electro;funky electronica;1999;90s;make me groove;james stinson;K1MO likes;Hellblau;music for people with superior taste in music;mun;adrien wayne;detroit electro;make me step;solid techno;tresor;drexciya;old skool techno;make me stream;chillout;ambient;groovy;detroit;20th Century;USA;minimal;ambience;electronic music;dark;real shit;Michigan;electro c64;melodica electronica;techno;cleiluiz;90s detroit techno,Habitat 'O' Negative,TRKKWIU12903CE1D92
Labi Siffre,,And The Wind Blows,TRKKWRN12903D09E37
Subzonic,,Sie Mag Mini Lieder Nöd,TRKKWTP128F4295C8A
Cali Life Style,,Haters (Haters(Unplugged Remix)),TRKKWVO128F92D87BE
Johnny Fiasco,vocal house;hus,Reflex,TRKKWGI12903CA11FC
Kosmo Koslowski,,50 Zloty,TRKKWPT12903CACBAB
Rene Froger,,Learn To Love (All Over Again),TRKKWLN128F4263AC3
Save Ferris,ska;ska punk;Joseph and Jeny Jam;Soundtrack;power pop;summer;female vocalists;so high school;know all the words;chick singer;girl singer;Skankable;female ska;dawsons creek;untaggedhome;cool horns;makes you happy to the extent that you want to jump;skapunk;Workout;sing along;cheerful;uptempo;Good Stuff;female;happy;surf rock;rock;seen live;heard on Pandora;third wave ska;play it,Nobody but Me,TRKKWSI128F4263D9D
Edwin Yearwood (feat. Lady Saw),,Take You With Me,TRKKWNC128F4254CF9
The Pretenders,new wave;heard on Pandora,Criminal (Live),TRKKWDZ128E0785753
3 Doors Down,rock;alternative rock;alternative;3 Doors Down;hard rock;00s;post-grunge;rock - pop - favs;sweet lyrics;melancholic;mammyyyyyyyyyy;memories;Angst-Ridden;Passionate;Motivational;Searching;listen to more;bad ass;great live band;story of a girl;3doors down;Reflecting;arsivde;thumper;Canciones wenas;totally wicked;pour toi;3doors;be somebody;Rock easy;alt rock;Love;blues;upbeat;Acoustic Rock;chill;Favorite;Favorite Artists;brooding;90s;introspective;My List;melancholy;Radio;mood;cathartic;personal;I Like It;party music;Ballad;soft rock;Southern Rock;acoustic;indie;jUliAnneDanielaKim;not the best;ok;TDF,Be Somebody,TRKKWNW128E07899FC
Heroes & Zeros,rock,Rupture,TRKKWPG12903CBFE33
Deep Dish,House;electronic;electronica;club;Progressive House;club-dance;send to MF;raver roots;24 7 brunch;boat party classic;download this deep dish;grym song;light house;wicked track;extra;say hello;remix;Progressive;dance;trance;dish;aerobic;eletronic;progressive trance;electro,Say Hello (Angello & Ingrosso Remix),TRKKWXD128E078DB27
The Essex,all- time favourite;The Essex,A Walkin' Miracle (2004 Digital Remaster),TRKKWPG128F934B0F0
Aquasky & Drumattic Twins,dnb,Bring it on Down,TRKKWNU128F92E73A4
The Exies,rock;alternative rock;alternative;punk rock;The Exies;alias;indie rock;post-grunge;songs that got me into the band;Grunge;hard rock;gold standard;loved;Favourites;Nina;get;guh;SimiliarToTrapt;punkcore;Exceptional KSI;songs about heroin;Gaming Rock;Hell ya;nitin;heroin addiction;My Goddess;rock kink;sympatoche;fun light stuff;My lovest songs;My goddes;LordLex92s;sick puppy love;metal;aggressive;punk;Soundtrack;good;Awesome;epic;modern rock;rockin;00s;addiction;male vocalists;theme songs;melodic rock;heroin;Fuck yes;lost;high energy;rolig;tracks you should cuddle up with;heard on Pandora;ggrunge;2003;to go crazy;3-star;fu;rated 4,My Goddess,TRKKWUO128F14A2121
Ral Partha Vogelbacher,indie rock;post-rock,New Happy Fawn,TRKKWYN128F9300C70
Banco del Mutuo Soccorso,,Emiliano (Radio Live),TRKKWSR128F426116D
James William Hindle,,(Masks),TRKKWOC128F4220B67
98 Mute,punk;punk rock;hardcore punk;skate punk,Judge & Jury,TRKKWJM128F425CEC7
JJ Paradise Players Club,,Toppler,TRKKWOJ128F42309EC
Newsboys,,Go (Go Remix Album Version),TRKKWGV128F42634B7
Cymarshall Law,Super Girl,Super Girl,TRKKWOQ128F4295D19
Frank the Baptist,rock;new wave;post-punk;wave;deathrock;dark and new wave;transitmelancolic,Vines on the Victrola,TRKKWGZ128EF33EDBD
In Strict Confidence,dark;Synth gothic,Blue Light,TRKKWYD128F4244F99
Olivier Messiaen,,La Nativité Du Seigneur (1935) - 9 Méditations : V Les Enfants De Dieu,TRKKWVO128F42990A0
Anja Garbarek,female vocalists;jazz;alternative;norwegian;chillout;wonderful;scandinavian;Anja Garbarek;Soundtrack;experimental;Ethereal-voiced jazz;p34ch d41k1r1;my agressive indie list;scandinawian;Experimental pop;My Songs;shmatka music;deutsch;The Cabinet;art pop;trip hop;electronica;instrumental;rock;trip-hop;electronic;90s;female;chill;marius de vries;female vocalist;2005,The Cabinet,TRKKWAF128F1455B4D
Memphis Jug Band,memphis jug band,Jug Band Waltz,TRKKWUT128F92E3A3A
Lisa Germano,4ad;singer-songwriter;alternative;indie folk;lisa germano;Alternative  Punk;silent hill-ish,Electrified,TRKKWUK128F4263803
Nati Cano's Mariachi Los Camperos,,Se Me Hizo Fácil,TRKKWSM128F934917C
Absoluuttinen nollapiste,rock;russian;rok;ihan parasta;kotimainen puolituntinen;suomi edustaa,Mustaa ei ole,TRKKWOM128F933F540
Consequence,2005;Hip-Hop;9th wonder,Word Play (Remix),TRKKWYP128F9304DBE
Maria Callas,,Giason! Dei Tuoi Figli La Madre,TRKKWLY128F4244BB1
Camiel,lounge;chillout;downtempo;jazzy;Smooth Jazz;good shit;eargasms;heard on last-fm;camiel;second look;frenchysradio,Follow Her,TRKKWDG128F92EBBD7
Stricken City,,5 Metres Apart,TRKKWBA128F933A349
Mourn,,Drowning (Demo/Bonus Track),TRKKWJI128F423B70F
Wizo,deutschpunk;punk;WIZO;german;perlen deutschsprachiger popmusik;top rated tracks;deutsch;uuaarrrggg;recomended tunes;german punk rock;wizo favs;under two minutes;spass;Punk Favorites;fun punk;Rock on;political;crazy;punk rock;WIZO - Schlechte Laune;pollli;Schmil;musix,Schlechte Laune,TRKKWRJ128F421A48E
All Or Nothing,pop punk;Easycore,Deadlines On My Birthday,TRKKWOO12903CCE86C
Sonny Landreth,rock;guitar;classic rock;blues;blues rock;louisiana;slide guitar;rhythm and blues with country influence,The Only One,TRKKWJD128F92EF148
Chic,Disco;studio 54,(Funny) Bone  (LP Version),TRKKWKL128F4233BA0
Celso Fonseca,,Origem da Felicidade,TRKKWII128F14AD9E1
T Lavitz,,I'm Callin' You (original),TRKKWUN128F426DD36
Mobb Deep,Scott Storch;rap;Hip-Hop;american;new york;East Coast;00s;Hip HopRap,Live Foul,TRKKWMQ128F4266186
Air Formation,shoegaze;space rock;indie;indie rock;nice;alternative;dream pop;ethereal;shoegazer;play it again sam;Look up;down by the sea;crujiente;over 5 minutes long,Caught Upon the Waves,TRKKWAQ128F9312EBC
Norther,Melodic Death Metal;death metal;metal;melodic metal;finnish metal;Power metal;black metal;FUCKING AWESOME;finnish;awesome lyrics;heavy metal;viking metal;Extreme Power Metal;finnish melodic death metal;Harsh Vocals;Love it;melodeath metal;Best of melodic death metal;the song that made me love the band;nice guitar solo;i miss you;00s;everything;love song;melodic;sad;Awesome;scandinavian;Love;aggressive;9 lbs hammer;seen  live,Everything,TRKKWSB128F934B4C0
Article One,belissima,Becoming,TRKKHFA128F425570F
a&e,,4 am,TRKKHNX128EF3659F4
Darqwan,,m/a...ximum reespek,TRKKHHN12903CD591F
Moby Grape,rock;psychedelic;60s;psych;Moby,Rose Colored Eyes,TRKKHTS128F92DC3DB
Billy May & His Orchestra,,A Cute Piece of Property,TRKKHSC128F424DC26
Malfunkshun,rock;Grunge;alternative;seattle;northwest,Exit Landrew,TRKKHIV128F932375C
Christine Fellows,,Blueprints,TRKKHZT128F92F40D4
Roy Ayers,drjazzmrfunkmusic,Baby I Need Your Love,TRKKHNP128F421C013
Souls of Mischief,hip hop;underground hip-hop;seen live,Do You Want It?,TRKKHPA128F93148E5
Los Caminantes,,Ya No Quiero Tu Carino,TRKKHZL12903CF7617
Carl Smith,,A Way With Words,TRKKHON128F4293B3A
Andrew Bassie Campbell,bass,Mr. Bass Man,TRKKHRY128F4268BC0
Jana Kirschner,slovak;Czech;Mellow;female vocalist;pop;alternative pop;female;female vocalists;acoustic guitar;Like;Czech and Slovak good music;good for falling asleep;Mellow Babes,Another Day,TRKKHYL128F42480CB
Slim Dusty,country,Whiskey Blues,TRKKHRV128F426C1FA
Lucky Dube,reggae,Celebrate Life,TRKKHTC128F149BC7D
Ray Price,country;ray price,The Road of No Return,TRKKHSY12903CC6149
Selena,Love;tejano;latin;Selena;upbeat;female vocalists;90s;latin pop;hot;tex-mex;Selena - no debes jugar,No Debes Jugar,TRKKHHB128F4261DFC
Elisabeth Withers,,Somebody,TRKKHKB128F149ABA6
Drive-By Truckers,hippie;2010;Texasss Rock-n-roll;backporch music;luisterpaal;livemusicarchive;frontloader,After the Scene Dies,TRKKHPO12903D05CEB
La Húngara,,Fiesta Con La Húngara Y Sus Hijas,TRKKHBK12903CC3F9A
Yölintu,iskelma;ylintu;tositarkoituksella,Tositarkoituksella,TRKKHNT128F4235DFC
Los LLaneros de la Frontera,,El Milagrito,TRKKHFT128F427D88C
Maya Nasri,arabic;lebanese;arabic pop;akhbarak eyh;habibi;nice;maya nasri - akhbarak eih;dance arabic;female vocals;maya nasri;Love it;next solo;perfmix;lebanese pop;belly;Oriental;middle east;arabe;belly dance;maya;teaching;Middle Eastern;world;sharaf;habbibi;female;verenkor;rai;indi music,Akhbarak Eyh,TRKKHVW128F4272B60
John Ottman,score;classic horror;count bela radio,Ritual / Escape From Church,TRKKHNF128F92C829B
Giorgia,Giorgia;soul;pop;piano;italian;female vocalists;italiana;quite,Stonata,TRKKHFZ128F92E58A6
The Rambos,,The Perfect Rose,TRKKHMM12903CB578E
Autechre,idm;drjazzmrfunkmusic;experimental;electronica;autechre;ambient;Juna;150608;goosebump inducer;DxSFx;melt in your brain good;glitchy and scratchy;autechre awesome;squashed electronics;focusing;adrien wayne;elec;so good;electronic;meditative;minimalist;Calming;groove;braindance;glitch;ambience;Recommended;genius;chill;relaxing;techno;E;Autechre-Squeller;good,Squeller,TRKKHRW128F92FF690
Blue Rodeo,Canadian;Alt-country;blue rodeo;rock;country;folk;blues;roots rock;It Could Happen To You;Toronto Songs;SundayMix,It Could Happen to You,TRKKHMG128F4236130
Cómplices,,Está llorando el sol,TRKKHZT128F42A1E61
Turbulence,,Everything But Love,TRKKHTZ12903CCE567
Minnie Riperton,soul;female vocalists;minnie riperton;Epic Records;my childhood;minnie ripperton;1974;My Songs;1970s;sweet;the old kitchen radio on Avenue B;at the top of the stairs turn left;albums i  own;strings - organs  rubber wind;comfy americana;kmem8100;kukident;before lunch two;great;Love;folk;70s;groovy;20th Century;folk-rock;rhythm-blues;la la la;groovyacousticsoul;strings organs rubber wind;TantoTempo-Soul;TantoTempo-albums i own;tantotempotaste;TantoTempo-My 70s Heaven;blackalmet;10;Shite die ik moet hebben,Seeing You This Way,TRKKHWS128E0788A64
Angelina,,Ich brauch Dich,TRKKHDP128EF344F2C
Soul II Soul,hip hop,Ride On,TRKKHUX128E0781E42
Schoolly D,,Funk And Pussy,TRKKHJS12903CB956D
The Real Tuesday Weld,Lovely movies,Last Words (Soundtrack Version),TRKKHXU128F92E87A9
Poison Idea,punk;hardcore;First Song on Album,Lifestyles,TRKKHUH128F933D2DB
Leon Bolier & Elsa Hill,trance;vocal trance;electronic;progressive trance;beautiful;female vocalists;My favourite;Armin van Buuren;a state of trance;awesome sound;Leon Bolier,No Need To Come Back,TRKKHLZ128F92FADE5
Fats Domino,rock n roll;oldies;60s;Theme Time Radio Hour;pop;rhythm and blues;numbers;Gouwe Ouwe;Girl;RB;60's;Dylan;wind;1961;1960's;pizza;fast domino;classic soul;New Orleans;boogie;classic jazz;sixties;1960s;Rock and Roll;Love;nice;blues;2001;Fats Domino;rock,Let the Four Winds Blow,TRKKHNE128F1459671
Baaba Maal,african;africa;world;senegal;afro-pop;african strings;baaba maal - cherie;positive-optimistic;Salif Keita;groovyacousticsoul;Eros;pan-african;calma;Around the World;DJ Ease Radio Show;fresh cool grooves;poker;xoo;ethnic;worldbeat;World Music;enjoyment;beautiful;20th Century;reggae;afrocaribetv;over 5 minutes long;afro-jazz;just great;African music;male voice;afrobeat;Love,Cherie,TRKKHVS128F4249D82
Lightnin' Hopkins,blues,Hopkins' Sky Hop,TRKKHKS128F424C5DF
Guano Apes,rock;alternative rock;alternative;female vocalists;german;punk rock;guano apes;Nu Metal;crossover;rapcore;female fronted;favourite;metal;nasic;garten metal;xynod;Alternative  Punk;gioser01;Chicks Rock;guano;deutschland;My favourite;brutal;1997;power;female vocalist;hard rock;female;live;female vocal;germany;heard on Pandora;metalcore;sound storm;ona,Wash It Down,TRKKHAI128F4290318
Kettcar,german;indie;Deutschrock;Hamburger Schule;rock;alternative rock;deutsch;indie rock;kettcar;alternative;Grand Hotel Van Cleef;german lyrics;seelenchaos;wegen der frauen;deutschsprachig;weinen;pop;indie alternative hamburg;only the top SONGS-no global artist-tags please;Chilling Playlist;chillen;live gesehen;schoen;liebe;leben;Crank it up a little;liebeskummer;dance indie dance;MandoDiao;grosse gesten;yolala indie fav;ex-punk rock;Es regnet Kaviar;nordische helden;Favouriten;schmucke Stimmen;Meine Heimatlieder;gesichtet;germans best;forever songs;schmuuf;mit einem Schuss Seele bitte;so true it hurts;Flo;klasse Texte;mehr;vv;unglaublich;true lyrics;Nu Metal;indie-pop;icelandic;female vocalists;What;live;ska punk;punk rock;fun;post-rock;alternative metal;electronic;ska;punk;ambient;Garage Rock;funny;guitar;metal;tomte;favourite tracks;deutsche texte;Deutscher Rock;nachdenklich;Perfection;songs i love;german artists;debut;Disturbed;My Favourites;sing along;kick ass;seen live;Deutschpop;taggen;Beziehung;alkohol;2002;independent;vermissen;indie deutsch;00s;21st century;Friday Night Lights,Balkon gegenüber,TRKKHID12903D0E5CC
Christian Vander Trio,jazz;french;Jazz Zeuhl,Brazilia,TRKKHJT128F9325DE0
Nancy Sinatra & Lee Hazlewood,oldies;female vocalists;duet;rock;classic rock;singer-songwriter;60s;genius;1960s;female singers;male vocalists;duets;cocktail;pleasant;1968;sentimentality,Storybook Children,TRKKHTQ128F427D3FB
Felix Mendelssohn,Classical;violin;mendelssohn;romantic;Romantic Classical;instrumental;classic;Relaxing Instrumental;classical music;felix mendelssohn;beautiful;klassik mendelssohn;requiemvirvj;wirklich klassisch;lang;heard on last-fm;orchester;all classics all the time;strung out on violins;let there be strings;violine;Mocha Love;Violinkonzert;life is easy;clasico;classical ambience;piano;composers;strings;heart-wrenched mocha;chill homework;concerto;In sorrow not in anger;romantik;concerti;mocha melancholy;concertos;trackstolistenagain;Q4;my recommendations station;Jesus joy mans desire;MenVCNo2;4jsclassical;4madisi;es erinnert mich an;ion b chill station;operette;Night time;erudite;relaxing;My Classical;study;Bach;rustycanuckforspp;violin concerto;easy listening classic;op 64 andante;Klassisk;violin concerto no2 in E minor;Klassik;classique;friendsofthekingofrummelpop;gazonkc;piano accompaniment;classical-romantic;classico;loved;like it;Mandelssohn;favoriten,Violin Concerto No. 2 in E minor, Op. 64: Andante,TRKKHPB128F930B512
Mister Ries,,Saturday,TRKKHEP128F9353C54
Yolanda Adams,gospel,Gotta Have Love,TRKKHDL128F93117AA
King Diamond,heavy metal;metal;Gothic Metal;denmark;horror;concept album,Whispers,TRKKHBG12903CA472C
Negative FX,hardcore;punk;hardcore punk;Straight Edge;Boston punk,Mind Control,TRKKHFO128F933D14A
Lily Holbrook,piano;mermaid;storytelling;dark;dreams;magic;singer-songwriters;female;enchanting;girls;rec;low like cats of power;songs that give me chills;lang:en;soundslike:tori amos;easy writer;anartfuldodger2010;cdbaby;enjoyable;fantasy;wistful;alternative;singer-songwriter;female vocalist,Mermaid,TRKKHKT128F427352C
Stor,,lilla shorty,TRKKUQX128F935A992
Cold Blue,,50/50,TRKKUMI128F934831F
John Coltrane,,Exotica (Alternate Take) (1990 Digital Remaster),TRKKUNL128F4279362
The Mooney Suzuki,rock;indie rock;NU;two apostrophes;6am;the way you look;mystie chamberlin;Just Another Folk Singer;The Merch Grrls;ThrowAway Grrls;Teh Typos;The Devil and The Deep Blue Sea,Loose 'n' Juicy,TRKKUAX128F428443A
James Blundell,,Moment in Time,TRKKUCG128F1461C72
Stick To Your Guns,hardcore;melodic hardcore;winter silence napierdalac;Inspirational hardcore,Driving Force,TRKKUIP12903D09F9C
Leilani,,Do You Want Me?,TRKKUQU128F428E96B
Gemelli Diversi,Hip Hop Italiano;italian;Jeff Mills;123,Istruzioni Per L'(Ill)uso,TRKKUWM128F92E4E1C
George Benson,jazz;soul;Night Music;80s;mark goodier is god;old soul;Easy Jazz;Old School soul;male vocal;fav;Smooth Jazz;west coast;sexy;funk;GH baby;gh fgh;lady love me;fhEasy;Jazz Vocal Tag;drjazzmrfunkmusic;superrock kyoi,Lady Love Me (One More Time),TRKKULZ128F1495BAC
Veltto Virtanen,,Beibi,TRKKUHR128F934355B
The Lillingtons,friendsofthekingofrummelpop;punk,One Armed Man,TRKKUVD128F92E702B
Westlife,pop;boybands;westlife;rock;britpop;feelgood;irish;gratitude;seen live,Thank You,TRKKULB128F425A9B2
Bobby Pulido,,Quiero Decirte,TRKKUIP128F42722C6
Rapsoul,,Vom Himmel bis zur Erde,TRKKULF128F934B00E
Echo Screen,,Start Tomorrow,TRKKUZE128F42875BF
